"Name","Example","Description","Type","Min","Max","Default"
"Decay_Time_Constant","[link](../json/campaign-waningeffectexponential_decay_time_constant.json)","The exponential decay length, in days, where the current effect is equal to 1 - dt/**Decay_Time_Constant** (dt equal to delta time).","float","0","100000","100"
"Initial_Effect","[link](../json/campaign-waningeffectexponential_initial_effect.json)","The initial efficacy, held for a specified duration (in days) as specified with the **Box_Duration** parameter. After this duration the efficacy decays at an exponential decay length (in days), where the current effect is equal to **Initial_Effect** - dt/**Decay_Time_Constant** (dt equal to delta time).","float","0","1","1"
