Parameter,Type,Min,Max,Default,Description
Durability_Map,json object,NA,NA,NA,"The time, in days, since the intervention was distributed and a multiplier for the **Initial_Effect**. See [example](../json/campaign-waningeffectmapcount_durability_map.json)."
Initial_Effect,float,0,1,1,"The multiplier used to define the magnitude of the shape of the curve, as specified when using the parameters with the **WaningEffectMapLinear** class. See [example](../json/campaign-waningeffectmapcount_initial_effect.json)."
Times,array of floats,0,999999,[],An array of days. See [example](../json/campaign-waningeffectmapcount_times.json).
Values,array of floats,0,3.40282e+38,[],An array of values to match the defined **Times**. See [example](../json/campaign-waningeffectmapcount_values.json).
