"Name","Example","Type","Min","Max","Default","Description"
"Author","[link](../json/demo-metadata-hiv_author.json)","string","NA","NA","NA","The person who created the demographics file. Files generated by |COMPS_s| will include this value, but it is not used by |EMOD_s| simulations."
"DateCreated","[link](../json/demo-metadata-hiv_datecreated.json)","string","NA","NA","NA","The date the demographics file was created. Files generated by |COMPS_s| will include this value, but it is not used by |EMOD_s| simulations."
"IdReference","[link](../json/demo-metadata-hiv_idreference.json)","string","NA","NA","NA","The identifier for a simulation; all input files (except configuration and campaign files) used in a simulation must have the same **IdReference** value. The value must be greater than 0. If the input files are generated using |COMPS_s|, this indicates the method used for generating the **NodeID**, the identifier used for each node in the simulation."
"Metadata","[link](../json/demo-metadata-hiv_metadata.json)","json object","NA","NA","NA","The structure that contains the metadata for the demographics file."
"NodeCount","[link](../json/demo-metadata-hiv_nodecount.json)","integer","1","Depends on available memory","NA","The number of nodes to expect in the input files. This parameter is required."
"Resolution","[link](../json/demo-metadata-hiv_resolution.json)","integer","NA","NA","NA","The spatial resolution of the demographics file. Files generated by |COMPS_s| will include this value, but it is not used by |EMOD_s| simulations."
"Tool","[link](../json/demo-metadata-hiv_tool.json)","string","NA","NA","NA","The software tool used to create the demographics file. Files generated by |COMPS_s| will include this value, but it is not used by |EMOD_s| simulations."
