"Name","Example","Description","Type","Min","Max","Default"
"Age_Thresholds","[link](../json/campaign-agediagnostic_age_thresholds.json)","Used to associate age ranges for individuals.","array of json objects","NA","NA","[]"
"Cost_To_Consumer","[link](../json/campaign-agediagnostic_cost_to_consumer.json)","The unit 'cost' assigned to the diagnostic. Setting **Cost_To_Consumer** to zero for all other interventions, and to a non-zero amount for one intervention, provides a convenient way to track the number of times the intervention has been applied in a simulation.","float","0","3.40282e+38","1"
"Disqualifying_Properties","[link](../json/campaign-agediagnostic_disqualifying_properties.json)","A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted (persistent interventions will stop being distributed to individuals with these values). See :ref:`demo-properties` parameters for more information. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time.","array of strings","NA","NA","[]"
"Dont_Allow_Duplicates","[link](../json/campaign-agediagnostic_dont_allow_duplicates.json)","If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes.","boolean","0","1","0"
"Event","[link](../json/campaign-agediagnostic_event.json)","The user-defined name of the diagnostic event; part of the **Age_Thresholds** parameter.","string","NA","NA",""""""
"High","[link](../json/campaign-agediagnostic_high.json)","The high end of the age grouping; part of the **Age_Thresholds** parameter.","float","0","1000","NA"
"Intervention_Name","[link](../json/campaign-agediagnostic_intervention_name.json)","The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.","string","NA","NA","AgeDiagnostic"
"Low","[link](../json/campaign-agediagnostic_low.json)","The low end of the age grouping; part of the **Age_Thresholds** parameter.","float","0","1000","NA"
"New_Property_Value","[link](../json/campaign-agediagnostic_new_property_value.json)","An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. See :ref:`demo-properties` parameters for more information. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways. For example, if an individual must already be taking a particular medication to be prescribed a new one.","string","NA","NA",""""""
