"Name","Example","Type","Min","Max","Default","Description"
"Event_Coordinator_Config","[link](../json/campaign-campaigneventbyyear_event_coordinator_config.json)","json object","NA","NA","NA","An object that specifies how the event is handled by the simulation. It specifies which Event Coordinator class will handle the event, and then configures the coordinator. This description starts with specifying class, and then the other fields depend on the class."
"Nodeset_Config","[link](../json/campaign-campaigneventbyyear_nodeset_config.json)","json object","NA","NA","NA","An object that specifies in which nodes the interventions will be distributed. Set to one of the :ref:`campaign-nodeset-config`."
"Start_Year","[link](../json/campaign-campaigneventbyyear_start_year.json)","float","1900","2200","1900","The absolute year of the simulation to activate the event's event coordinator. To have the intervention applied other than at the beginning of the year, you must enter a decimal value after the year. For example, 2010.5 would have the intervention applied halfway through the year 2010."
