"Name","Example","Type","Min","Max","Default","Description"
"Durability_Map","[link](../json/campaign-waningeffectmappiecewise_durability_map.json)","json object","NA","NA","NA","The time, in days, since the intervention was distributed and a multiplier for the **Initial_Effect**."
"Expire_At_Durability_Map_End","[link](../json/campaign-waningeffectmappiecewise_expire_at_durability_map_end.json)","boolean","0","1","0","Set to 1 to let the intervention expire when the end of the map is reached."
"Initial_Effect","[link](../json/campaign-waningeffectmappiecewise_initial_effect.json)","float","0","1","1","The multiplier used to define the magnitude of the shape of the curve, as specified when using the parameters with the **WaningEffectMapPiecewise** class."
"Reference_Timer","[link](../json/campaign-waningeffectmappiecewise_reference_timer.json)","integer","0","2147480000.0","0","The timestamp at which linear-map should be anchored."
"Times","[link](../json/campaign-waningeffectmappiecewise_times.json)","array of floats","0","999999","[]","An array of days."
"Values","[link](../json/campaign-waningeffectmappiecewise_values.json)","array of floats","0","3.40282e+38","[]","An array of values to match the defined **Times**."
