"Name","Example","Type","Min","Max","Default","Description"
"Durability_Map","[link](../json/campaign-waningeffectmaplinearage_durability_map.json)","json object","NA","NA","NA","The time, in days, since the intervention was distributed and a multiplier for the **Initial_Effect**."
"Initial_Effect","[link](../json/campaign-waningeffectmaplinearage_initial_effect.json)","float","0","1","1","The multiplier used to define the magnitude of the shape of the curve, as specified when using the parameters with the **WaningEffectMapLinearAge** class."
"Times","[link](../json/campaign-waningeffectmaplinearage_times.json)","array of floats","0","125","[]","An array of years."
"Values","[link](../json/campaign-waningeffectmaplinearage_values.json)","array of floats","0","3.40282E+38","[]","An array of values to match the defined **Times**."
