"Name","Example","Description","Type","Min","Max","Default"
"Add_Effects","[link](../json/campaign-waningeffectcombo_add_effects.json)","The **Add_Effects** parameter allows you to combine multiple effects from the waning effect classes. If set to true (1), then the waning effect values from the different waning effect objects are added together. If set to false (0), the waning effect values are multiplied. The resulting waning effect value must be greater than 1.","boolean","0","1","0"
"Effect_List","[link](../json/campaign-waningeffectcombo_effect_list.json)","A list of nested JSON parameters to indicate how the intervention efficacy wanes over time.","array of json objects","NA","NA","NA"
"Expires_When_All_Expire","[link](../json/campaign-waningeffectcombo_expires_when_all_expire.json)","If set to true (1), then all of the effects, as specified in the **Effect_List** parameter, must expire for the efficacy of the intervention to expire. If set to false (0), then the efficacy of the intervention will expire as soon as one of the parameters expires.","boolean","0","1","0"
